id,phrase
1,你好！
2,早上好！
3,下午好！
4,晚上好！
5,再见！
6,谢谢！
7,不客气！
8,对不起。
9,没关系。
10,请问…
11,你叫什么名字？
12,我叫...
13,你今年多大了？
14,我今年...
15,你住在哪里？
16,我住在…
17,你学习中文多久了？
18,我学习了...
19,你喜欢吃中国菜吗？
20,我很喜欢！
21,你会说英文吗？
22,会一点儿。
23,你喜欢听音乐吗？
24,喜欢。
25,你喜欢看电影吗？
26,喜欢。
27,你有兄弟姐妹吗？
28,有。
29,你有宠物吗？
30,没有。
31,你喜欢运动吗？
32,喜欢。
33,你喜欢读书吗？
34,喜欢。
35,你喜欢旅行吗？
36,喜欢。
37,你有工作吗？
38,有。
39,你喜欢你的工作吗？
40,很喜欢。
41,你今天过得怎么样？
42,不错。
43,你喜欢逛街吗？
44,有时候喜欢。
45,你有什么爱好？
46,我喜欢画画。
47,你喜欢喝茶还是喝咖啡？
48,我更喜欢喝茶。
49,你喜欢吃甜的还是辣的？
50,我喜欢吃甜的。
51,你觉得今天的天气怎么样？
52,很好。
53,你喜欢去海边还是山上？
54,我更喜欢去海边。
55,你有看过这部电影吗？
56,没有。
57,你觉得这个菜怎么样？
58,很好吃。
59,你去过中国吗？
60,去过。
61,你学过汉语吗？
62,学过一点。
63,你会做饭吗？
64,会一点儿。
65,你喜欢吃中国的饭菜吗？
66,很喜欢。
67,你有多少个朋友？
68,有几个好朋友。
69,你喜欢与朋友聚会吗？
70,喜欢。
71,你有参加过婚礼吗？
72,你有看过芭蕾舞吗？
73,你喜欢穿什么颜色的衣服？
74,我喜欢穿白色的衣服。
75,你有什么特长？
76,我擅长唱歌。
77,你平时几点起床？
78,早上六点。
79,你最喜欢的季节是什么？
80,我最喜欢春天。
81,你有什么打算？
82,我计划去旅行。
83,你的生日是几月几号？
84,我的生日是九月十二号。
85,你有什么梦想？
86,我梦想成为一名作家。
87,你最近忙吗？
88,有点忙。
89,你的家乡在哪里？
90,我的家乡在上海。
91,你有过工作经验吗？
92,你最喜欢的颜色是什么？
93,你在哪家公司工作？
94,我在一家IT公司工作。
95,你觉得中国的文化怎么样？
96,非常有意思。
97,你有去过音乐会吗？
98,我最喜欢的颜色是蓝色。
99,你有看过京剧吗？
100,你有去过博物馆吗？
101,还没有
102,还没有
103,还没有
104,还没有
105,还没有
106,还没有
107,还没有
108,还没有
109,还没有
110,还没有
111,还没有
112,还没有
113,还没有
114,还没有
115,还没有
116,还没有
117,还没有
118,还没有
119,还没有
120,还没有
121,还没有
122,还没有
123,还没有
124,还没有
125,还没有
126,还没有
127,还没有
128,还没有
129,还没有
130,还没有
131,还没有
132,还没有
133,还没有
134,还没有
135,还没有
136,还没有
137,还没有
138,还没有
139,还没有
140,还没有
141,还没有
142,还没有
143,还没有
144,还没有
145,还没有
146,还没有
147,还没有
148,还没有
149,还没有
150,还没有
151,还没有
152,还没有
153,还没有
154,还没有
155,还没有
156,还没有
157,还没有
158,还没有
159,还没有
160,还没有
161,还没有
162,还没有
163,还没有
164,还没有
165,还没有
166,还没有
167,还没有
168,还没有
169,还没有
170,还没有
171,还没有
172,还没有
173,还没有
174,还没有
175,还没有
176,还没有
177,还没有
178,还没有
179,还没有
180,还没有
181,还没有
182,还没有
183,还没有
184,还没有
185,还没有
186,还没有
187,还没有
188,还没有
189,还没有
190,还没有
191,还没有
192,还没有
193,还没有
194,还没有
195,还没有
196,还没有
197,还没有
198,还没有
199,还没有
200,还没有
201,还没有
202,还没有
203,还没有
204,还没有
205,还没有
206,还没有
207,还没有
208,还没有
209,还没有
210,还没有
211,还没有
212,还没有
213,还没有
214,还没有
215,还没有
216,还没有
217,还没有
218,还没有
219,还没有
220,还没有
221,还没有
222,还没有
223,还没有
224,还没有
225,还没有
226,还没有
227,还没有
228,还没有
229,还没有
230,还没有
231,还没有
232,还没有
233,还没有
234,还没有
235,还没有
236,还没有
237,还没有
238,还没有
239,还没有
240,还没有
241,还没有
242,还没有
243,还没有
244,还没有
245,还没有
246,还没有
247,还没有
248,还没有
249,还没有
250,还没有
251,还没有
252,还没有
253,还没有
254,还没有
255,还没有
256,还没有
257,还没有
258,还没有
259,还没有
260,还没有
261,还没有
262,还没有
263,还没有
264,还没有
265,还没有
266,还没有
267,还没有
268,还没有
269,还没有
270,还没有
271,还没有
272,还没有
273,还没有
274,还没有
275,还没有
276,还没有
277,还没有
278,还没有
279,还没有
280,还没有
281,还没有
282,还没有
283,还没有
284,还没有
285,还没有
286,还没有
287,还没有
288,还没有
289,还没有
290,还没有
291,还没有
292,还没有
293,还没有
294,还没有
295,还没有
296,还没有
297,还没有
298,还没有
299,还没有
300,还没有
301,还没有
302,还没有
303,还没有
304,还没有
305,还没有
306,还没有
307,还没有
308,还没有
309,还没有
310,还没有
311,还没有
312,还没有
313,还没有
314,还没有
315,还没有
316,还没有
317,还没有
318,还没有
319,还没有
320,还没有
321,还没有
322,还没有
323,还没有
324,还没有
325,还没有
326,还没有
327,还没有
328,还没有
329,还没有
330,还没有
331,还没有
332,还没有
333,还没有
334,还没有
335,还没有
336,还没有
337,还没有
338,还没有
339,还没有
340,还没有
341,还没有
342,还没有
343,还没有
344,还没有
345,还没有
346,还没有
347,还没有
348,还没有
349,还没有
350,还没有
351,还没有
352,还没有
353,还没有
354,还没有
355,还没有
356,还没有
357,还没有
358,还没有
359,还没有
360,还没有
361,还没有
362,还没有
363,还没有
364,还没有
365,还没有
366,还没有
367,还没有
368,还没有
369,还没有
370,还没有
371,还没有
372,还没有
373,还没有
374,还没有
375,还没有
376,还没有
377,还没有
378,还没有
379,还没有
380,还没有
381,还没有
382,还没有
383,还没有
384,还没有
385,还没有
386,还没有
387,还没有
388,还没有
389,还没有
390,还没有
391,还没有
392,还没有
393,还没有
394,还没有
395,还没有
396,还没有
397,还没有
398,还没有
399,还没有
400,还没有
401,还没有
402,还没有
403,还没有
404,还没有
405,还没有
406,还没有
407,还没有
408,还没有
409,还没有
410,还没有
411,还没有
412,还没有
413,还没有
414,还没有
415,还没有
416,还没有
417,还没有
418,还没有
419,还没有
420,还没有
421,还没有
422,还没有
423,还没有
424,还没有
425,还没有
426,还没有
427,还没有
428,还没有
429,还没有
430,还没有
431,还没有
432,还没有
433,还没有
434,还没有
435,还没有
436,还没有
437,还没有
438,还没有
439,还没有
440,还没有
441,还没有
442,还没有
443,还没有
444,还没有
445,还没有
446,还没有
447,还没有
448,还没有
449,还没有
450,还没有
451,还没有
452,还没有
453,还没有
454,还没有
455,还没有
456,还没有
457,还没有
458,还没有
459,还没有
460,还没有
461,还没有
462,还没有
463,还没有
464,还没有
465,还没有
466,还没有
467,还没有
468,还没有
469,还没有
470,还没有
471,还没有
472,还没有
473,还没有
474,还没有
475,还没有
476,还没有
477,还没有
478,还没有
479,还没有
480,还没有
481,还没有
482,还没有
483,还没有
484,还没有
485,还没有
486,还没有
487,还没有
488,还没有
489,还没有
490,还没有
491,还没有
492,还没有
493,还没有
494,还没有
495,还没有
496,还没有
497,还没有
498,还没有
499,还没有
500,还没有
501,还没有
502,还没有
503,还没有
504,还没有
505,还没有
506,还没有
507,还没有
508,还没有
509,还没有
510,还没有
511,还没有
512,还没有
513,还没有
514,还没有
515,还没有
516,还没有
517,还没有
518,还没有
519,还没有
520,还没有
521,还没有
522,还没有
523,还没有
524,还没有
525,还没有
526,还没有
527,还没有
528,还没有
529,还没有
530,还没有
531,还没有
532,还没有
533,还没有
534,还没有
535,还没有
536,还没有
537,还没有
538,还没有
539,还没有
540,还没有
541,还没有
542,还没有
543,还没有
544,还没有
545,还没有
546,还没有
547,还没有
548,还没有
549,还没有
550,还没有
551,还没有
552,还没有
553,还没有
554,还没有
555,还没有
556,还没有
557,还没有
558,还没有
559,还没有
560,还没有
561,还没有
562,还没有
563,还没有
564,还没有
565,还没有
566,还没有
567,还没有
568,还没有
569,还没有
570,还没有
571,还没有
572,还没有
573,还没有
574,还没有
575,还没有
576,还没有
577,还没有
578,还没有
579,还没有
580,还没有
581,还没有
582,还没有
583,还没有
584,还没有
585,还没有
586,还没有
587,还没有
588,还没有
589,还没有
590,还没有
591,还没有
592,还没有
593,还没有
594,还没有
595,还没有
596,还没有
597,还没有
598,还没有
599,还没有
600,还没有
601,还没有
602,还没有
603,还没有
604,还没有
605,还没有
606,还没有
607,还没有
608,还没有
609,还没有
610,还没有
611,还没有
612,还没有
613,还没有
614,还没有
615,还没有
616,还没有
617,还没有
618,还没有
619,还没有
620,还没有
621,还没有
622,还没有
623,还没有
624,还没有
625,还没有
626,还没有
627,还没有
628,还没有
629,还没有
630,还没有
631,还没有
632,还没有
633,还没有
634,还没有
635,还没有
636,还没有
637,还没有
638,还没有
639,还没有
640,还没有
641,还没有
642,还没有
643,还没有
644,还没有
645,还没有
646,还没有
647,还没有
648,还没有
649,还没有
650,还没有
651,还没有
652,还没有
653,还没有
654,还没有
655,还没有
656,还没有
657,还没有
658,还没有
659,还没有
660,还没有
661,还没有
662,还没有
663,还没有
664,还没有
665,还没有
666,还没有
667,还没有
668,还没有
669,还没有
670,还没有
671,还没有
672,还没有
673,还没有
674,还没有
675,还没有
676,还没有
677,还没有
678,还没有
679,还没有
680,还没有
681,还没有
682,还没有
683,还没有
684,还没有
685,还没有
686,还没有
687,还没有
688,还没有
689,还没有
690,还没有
691,还没有
692,还没有
693,还没有
694,还没有
695,还没有
696,还没有
697,还没有
698,还没有
699,还没有
700,还没有
701,还没有
702,还没有
703,还没有
704,还没有
705,还没有
706,还没有
707,还没有
708,还没有
709,还没有
710,还没有
711,还没有
712,还没有
713,还没有
714,还没有
715,还没有
716,还没有
717,还没有
718,还没有
719,还没有
720,还没有
721,还没有
722,还没有
723,还没有
724,还没有
725,还没有
726,还没有
727,还没有
728,还没有
729,还没有
730,还没有
731,还没有
732,还没有
733,还没有
734,还没有
735,还没有
736,还没有
737,还没有
738,还没有
739,还没有
740,还没有
741,还没有
742,还没有
743,还没有
744,还没有
745,还没有
746,还没有
747,还没有
748,还没有
749,还没有
750,还没有
751,还没有
752,还没有
753,还没有
754,还没有
755,还没有
756,还没有
757,还没有
758,还没有
759,还没有
760,还没有
761,还没有
762,还没有
763,还没有
764,还没有
765,还没有
766,还没有
767,还没有
768,还没有
769,还没有
770,还没有
771,还没有
772,还没有
773,还没有
774,还没有
775,还没有
776,还没有
777,还没有
778,还没有
779,还没有
780,还没有
781,还没有
782,还没有
783,还没有
784,还没有
785,还没有
786,还没有
787,还没有
788,还没有
789,还没有
790,还没有
791,还没有
792,还没有
793,还没有
794,还没有
795,还没有
796,还没有
797,还没有
798,还没有
799,还没有
800,还没有
801,还没有
802,还没有
803,还没有
804,还没有
805,还没有
806,还没有
807,还没有
808,还没有
809,还没有
810,还没有
811,还没有
812,还没有
813,还没有
814,还没有
815,还没有
816,还没有
817,还没有
818,还没有
819,还没有
820,还没有
821,还没有
822,还没有
823,还没有
824,还没有
825,还没有
826,还没有
827,还没有
828,还没有
829,还没有
830,还没有
831,还没有
832,还没有
833,还没有
834,还没有
835,还没有
836,还没有
837,还没有
838,还没有
839,还没有
840,还没有
841,还没有
842,还没有
843,还没有
844,还没有
845,还没有
846,还没有
847,还没有
848,还没有
849,还没有
850,还没有
851,还没有
852,还没有
853,还没有
854,还没有
855,还没有
856,还没有
857,还没有
858,还没有
859,还没有
860,还没有
861,还没有
862,还没有
863,还没有
864,还没有
865,还没有
866,还没有
867,还没有
868,还没有
869,还没有
870,还没有
871,还没有
872,还没有
873,还没有
874,还没有
875,还没有
876,还没有
877,还没有
878,还没有
879,还没有
880,还没有
881,还没有
882,还没有
883,还没有
884,还没有
885,还没有
886,还没有
887,还没有
888,还没有
889,还没有
890,还没有
891,还没有
892,还没有
893,还没有
894,还没有
895,还没有
896,还没有
897,还没有
898,还没有
899,还没有
